error_factor	capacity_factor	qualitative_supraadditive	collapsed_both	collapsed_error_only	collapsed_capacity_only	interaction
2.6982606969571097	10.618587587949342	False	False	False	False	0.01538914094666155
2.6982606969571097	12.914104702195969	False	False	False	False	0.021965055233925224
2.6982606969571097	15.705864728049711	False	False	False	False	0.03076295221395897
2.6982606969571097	19.101145030506867	False	False	False	False	0.04216854109319801
2.6982606969571097	23.23041410288293	False	False	False	False	0.05653039418074757
2.6982606969571097	28.252345004947657	False	False	False	False	0.07413889594924084
2.6982606969571097	34.35991260179622	False	False	False	False	0.09520206654610441
2.6982606969571097	41.787808898564755	False	False	False	False	0.11981889182487704
2.6982606969571097	50.82146141581522	False	False	False	False	0.14795346610912752
2.6982606969571097	61.80800114953867	False	False	False	False	0.17941425308848813
2.6982606969571097	75.16960157530129	False	False	False	False	0.2138423527826343
2.6982606969571097	91.41970126681093	False	False	False	False	0.2507117433714694
2.6982606969571097	111.18273350618666	False	False	False	False	0.28934374563268284
2.6982606969571097	135.21812102437377	True	True	False	False	
2.6982606969571097	164.44945790386396	True	True	False	False	
2.6982606969571097	200.0	True	True	False	False	
3.2815683692122515	1.5	False	False	False	False	0.0004809851617497696
3.2815683692122515	1.8242687073822879	False	False	False	False	0.0008020791102940628
3.2815683692122515	2.2186375444894955	False	False	False	False	0.001213721702950199
3.2815683692122515	2.6982606969571097	False	False	False	False	0.0017616103607498435
3.2815683692122515	3.2815683692122515	False	False	False	False	0.0025232663101764086
3.2815683692122515	3.9909749913929575	False	False	False	False	0.0036263727063088336
3.2815683692122515	4.853740525828978	False	False	False	False	0.005270822014217913
3.2815683692122515	5.90301797001537	False	False	False	False	0.007749646935669263
3.2815683692122515	7.179127307876238	False	False	False	False	0.011461869027789007
3.2815683692122515	8.731104862714846	False	False	False	False	0.01691217730944361
3.2815683692122515	10.618587587949342	False	False	False	False	0.024698785086923802
3.2815683692122515	12.914104702195969	False	False	False	False	0.03549769551559323
3.2815683692122515	15.705864728049711	False	False	False	False	0.050053459914814136
