f_base	error_factor	capacity_factor	margin_baseline	margin_error_only	margin_capacity_only	margin_both	collapsed_error_only	collapsed_capacity_only	collapsed_both	binding_pool_baseline	qualitative_supraadditive	D_error	D_capacity	D_both	interaction	interaction_pct_of_additive
0.0001	5.0	10.0	2.198810249846641	1.4980871639264925	2.0199368989783317	1.3034239221178003	False	False	False	P	False	0.7007230859201485	0.17887335086830936	0.8953863277288407	0.015789890940382856	1.795129025082705
0.0001	5.0	20.0	2.198810249846641	1.4980871639264925	1.8470493684770302	1.1124270582124933	False	False	False	P	False	0.7007230859201485	0.3517608813696109	1.0863831916341478	0.0338992243443883	3.220877979897579
0.0001	10.0	1.5	2.198810249846641	1.1946809249440333	2.1944850483257023	1.1883868527233326	False	False	False	P	False	1.0041293249026078	0.004325201520938737	1.0104233971233085	0.0019688706997620375	0.19523643834934015
0.0001	10.0	2.0	2.198810249846641	1.1946809249440333	2.190200898848699	1.1821252073168642	False	False	False	P	False	1.0041293249026078	0.008609350997942133	1.0166850425297769	0.003946366629226983	0.38967274807766034
0.0001	10.0	3.0	2.198810249846641	1.1946809249440333	2.181752644758866	1.1696957602724283	False	False	False	P	False	1.0041293249026078	0.017057605087774874	1.0291144895742128	0.00792755958383018	0.7763083673529625
0.0001	10.0	5.0	2.198810249846641	1.1946809249440333	2.1653157390950635	1.1451892689534064	False	False	False	P	False	1.0041293249026078	0.03349451075157761	1.0536209808932346	0.01599714523904927	1.5417094990848619
0.0001	10.0	10.0	2.198810249846641	1.1946809249440333	2.0199368989783317	0.9789753107562927	False	False	False	P	False	1.0041293249026078	0.17887335086830936	1.2198349390903482	0.036832263319431124	3.113455622188594
0.0001	10.0	20.0	2.198810249846641	1.1946809249440333	1.8470493684770302	0.7611530755631247	False	False	False	P	False	1.0041293249026078	0.3517608813696109	1.4376571742835162	0.08176696801129757	6.03050067277213
0.0001	20.0	1.5	2.198810249846641	0.8876792656105568	2.1944850483257023	0.8790211804874528	False	False	False	P	False	1.3111309842360843	0.004325201520938737	1.3197890693591883	0.004332883602165216	0.3293825859864511
0.0001	20.0	2.0	2.198810249846641	0.8876792656105568	2.190200898848699	0.8703540316515529	False	False	False	P	False	1.3111309842360843	0.008609350997942133	1.3284562181950883	0.00871588296106185	0.6604240795229073
0.0001	20.0	3.0	2.198810249846641	0.8876792656105568	2.181752644758866	0.852982722022078	False	False	False	P	False	1.3111309842360843	0.017057605087774874	1.345827527824563	0.01763893850070386	1.3280447251608534
0.0001	20.0	5.0	2.198810249846641	0.8876792656105568	2.1653157390950635	0.8180179815278087	False	False	False	P	False	1.3111309842360843	0.03349451075157761	1.3807922683188325	0.036166773331170576	2.6897283642165686
0.0001	20.0	10.0	2.198810249846641	0.8876792656105568	2.0199368989783317	0.6213684330116467	False	False	False	P	False	1.3111309842360843	0.17887335086830936	1.5774418168349944	0.08743748173060073	5.868270290936746
0.0001	20.0	20.0	2.198810249846641	0.8876792656105568	1.8470493684770302	0.3022737850928121	False	False	False	P	False	1.3111309842360843	0.3517608813696109	1.896536464753829	0.23364459914813374	14.0504986512175
