alpha	R	throughput	eps	accuracy	j	j_crit	j_over_jcrit	on_front
0.16	0.32690476190476186	0.10709523809523808	0.6187833918061408	-0.6187833918061408	0.023194064136200176	0.6066649443412278	0.03823208239168395	False
0.16	0.34702380952380946	0.08697619047619048	0.6187833918061408	-0.6187833918061408	0.01883679775223194	0.6471477647032196	0.029107413761786615	False
0.16	0.3671428571428571	0.06685714285714284	0.6187833918061408	-0.6187833918061408	0.014479531368263689	0.6875904201676329	0.021058366934102447	False
0.16	0.3872619047619047	0.046738095238095245	0.6187833918061408	-0.6187833918061408	0.010122264984295455	0.7279878774416804	0.013904441678160165	False
0.16	0.40738095238095234	0.026619047619047598	0.6187833918061408	-0.6187833918061408	0.0057649986003272076	0.7683368338230746	0.007503217790095844	False
0.16	0.42749999999999994	0.006500000000000006	0.6187833918061408	-0.6187833918061408	0.0014077322163589716	0.8086353365574098	0.0017408739795518797	False
0.2	0.06535714285714285	0.3646428571428571	0.5488116360940264	-0.5488116360940264	0.07004208505650011	0.09020609746883278	0.7764673012342701	False
0.2	0.08547619047619047	0.34452380952380945	0.5488116360940264	-0.5488116360940264	0.066177536452338	0.12689615129660622	0.5215094057317393	False
0.2	0.10559523809523809	0.32440476190476186	0.5488116360940264	-0.5488116360940264	0.0623129878481759	0.16491548047478125	0.37784802050590244	False
0.2	0.1257142857142857	0.30428571428571427	0.5488116360940264	-0.5488116360940264	0.0584484392440138	0.20380262851831912	0.2867894279330164	False
0.2	0.14583333333333331	0.2841666666666666	0.5488116360940264	-0.5488116360940264	0.054583890639851695	0.24327266495805228	0.22437330001405478	False
0.2	0.16595238095238093	0.264047619047619	0.5488116360940264	-0.5488116360940264	0.050719342035689584	0.28313917646107756	0.17913219452576123	False
0.2	0.18607142857142855	0.24392857142857138	0.5488116360940264	-0.5488116360940264	0.04685479343152749	0.32327512167157857	0.1449378262987035	False
0.2	0.20619047619047617	0.22380952380952376	0.5488116360940264	-0.5488116360940264	0.04299024482736539	0.3635913152033327	0.11823782095379196	False
0.2	0.2263095238095238	0.20369047619047614	0.5488116360940264	-0.5488116360940264	0.039125696223203284	0.4040237759613656	0.09684008355722273	False
0.2	0.24642857142857139	0.18357142857142855	0.5488116360940264	-0.5488116360940264	0.035261147619041186	0.4445258882626736	0.07932304630637196	False
0.2	0.26654761904761903	0.1634523809523809	0.5488116360940264	-0.5488116360940264	0.03139659901487908	0.4850633369835424	0.06472680291634643	False
0.2	0.2866666666666666	0.1433333333333333	0.5488116360940264	-0.5488116360940264	0.027532050410716987	0.5256107202753384	0.052381067106649706	False
