label	name	j_over_jcrit	tr_J
stable	draw583	0.4927676521749636	-3.7701156890188807
stable	draw583	0.49865987312911264	-3.7200938061690234
stable	draw583	0.507162943472999	-3.6487196999350284
stable	draw583	0.5127199379435438	-3.6025871314490803
stable	draw583	0.5157482730257594	-3.5776154884137132
stable	draw583	0.5242225211354828	-3.508362706139295
stable	draw583	0.5329655853268336	-3.4378672113346536
stable	draw583	0.5330302712641654	-3.437349218187567
stable	draw583	0.5414584521774625	-3.3703014352042997
stable	draw583	0.5502205195524993	-3.3015201099872526
stable	draw583	0.5534709555105188	-3.276240368420569
stable	draw583	0.558849030071903	-3.2346901810657065
stable	draw583	0.5675416106894776	-3.168253598149967
stable	draw583	0.5741998815847363	-3.117958584650697
stable	draw583	0.5763716343455801	-3.1016636036965415
stable	draw583	0.5849762631554463	-3.0376264402386326
stable	draw583	0.5939033407050367	-2.9720617724423897
stable	draw583	0.5951136039632056	-2.9632404077849426
stable	draw583	0.6025007187437149	-2.909741162163698
stable	draw583	0.6113138308902976	-2.846676813197967
stable	draw583	0.616170686230563	-2.8122707381818786
stable	draw583	0.620090415912788	-2.7846810823798487
stable	draw583	0.6287701591565238	-2.7241439671248555
stable	draw583	0.6373269103159802	-2.6652013597150326
stable	draw583	0.637720003173708	-2.6625108574713923
stable	draw583	0.6462468709800013	-2.604516940174691
stable	draw583	0.6550707868251634	-2.5452304468032327
stable	draw583	0.6585351510947792	-2.5221521704655023
stable	draw583	0.663717804578158	-2.487832320915202
stable	draw583	0.6723601073621213	-2.4311392725464867
stable	draw583	0.6797452319079595	-2.383213045845584
stable	draw583	0.6811560887419581	-2.374110655824887
stable	draw583	0.6895968567688591	-2.3200047402889536
stable	draw583	0.6983114613814851	-2.264761159572105
stable	draw583	0.7009037640283118	-2.248446247183976
stable	draw583	0.7067536159457913	-2.211824486130886
stable	draw583	0.7152364568662839	-2.1591885915237103
stable	draw583	0.7219539747496451	-2.1178892733513996
stable	draw583	0.7238023188222507	-2.106583569943075
stable	draw583	0.7320335463968805	-2.0565318990588692
stable	draw583	0.7405105218131512	-2.0054767502415904
stable	draw583	0.7428355304859539	-1.9915580422736343
stable	draw583	0.7486744123646143	-1.9567590450130168
stable	draw583	0.7568688005019625	-1.9082858289244924
stable	draw583	0.7634843629892516	-1.869450283435539
stable	draw583	0.7651301285309613	-1.859829109893842
stable	draw583	0.773022788903464	-1.8139023739069082
stable	draw583	0.7811287058798827	-1.7670882682902993
stable	draw583	0.7838325084752974	-1.7515490217107423
stable	draw583	0.7889436413676032	-1.722273909116188
stable	draw583	0.7967171166302627	-1.6779879581025932
stable	draw583	0.8038079710309827	-1.6378260367789979
stable	draw583	0.8046018964724819	-1.6333425253746516
stable	draw583	0.8120253130033971	-1.5915416573709145
stable	draw583	0.819625870038824	-1.548954916897542
stable	draw583	0.8233346231103384	-1.5282451905004841
stable	draw583	0.8270242559586309	-1.5076845377737225
stable	draw583	0.8342455914356464	-1.4675541960032474
stable	draw583	0.8416181287225318	-1.4267147390662578
stable	draw583	0.8423321571500237	-1.4227655261921965
stable	draw583	0.8485112045628431	-1.388627720323876
stable	draw583	0.8554767259812852	-1.3502105184275697
stable	draw583	0.8607161032883638	-1.321344057922519
stable	draw583	0.8623936656859128	-1.3121047627454738
stable	draw583	0.8689388033992375	-1.2760611773413162
stable	draw583	0.8755949131918156	-1.239392049766025
stable	draw583	0.8783979287807259	-1.223938183735562
stable	draw583	0.881976252954342	-1.2041939825199262
