u	a	uf	af	G_af	G_u	p_uf	p_af	p_cf	p_df	duf_du	daf_du	dcf_du	ddf_du	chain_sum	name	population
0.013847837705043687	5.895104311278275	0.012042893643777166	5.206464696116622	0.07981463329607821	56.030290867123774	55.83127453781851	0.004307634984960597	5.523819219341723e-06	0.19470318183341914	0.870049982197457	0.05397049146340258	-7.676992966848298e-05	-0.07586390234160172	56.03029087845611	draw125	kinetic_box
0.22375800539366797	0.17514382303853895	0.17154202608067273	0.020428165416156555	-0.0628598754988926	0.01620566539944016	0.015757184446518142	-0.0001131400557642043	0.0005575148588137956	4.10614919046699e-06	0.7791619768299805	0.0017998771850287465	-0.19355393293882198	-0.018778597396950925	0.0162056653987582	draw128	kinetic_box
0.4000695369174846	0.032813377821794075	0.07438213361390598	0.005426160506368978	-0.008128002107861083	0.00282661200852424	0.0020149929431598317	-3.5667454718051335e-05	0.0001711805569115289	0.0006761059631471739	0.29687441837639433	0.004388219176709511	-0.49701712796366576	-0.10509423239543961	0.002826612008500483	draw129	kinetic_box
0.12543032144923374	4.129731705708183	0.031175880442150188	3.6040060744478826	0.12142855961102998	4.898218627815359	4.4405450278612735	0.03554350726563529	0.03866324217031347	0.3834668506986248	0.290371515954619	0.29271126479216414	-0.004930194876881928	-0.3926465871086667	4.898218627995847	draw130	kinetic_box
0.497722539735507	0.43593125674626504	0.26813153089185876	0.08609336497202029	-1.422604329612352	0.678514327799029	0.6327231401552501	-0.06209316404470014	0.0025551433882691718	0.10532920833270536	0.6355575777940125	0.04364752921961092	-0.008528074350035395	-0.30798241503681645	0.6785143278315244	draw132	kinetic_box
0.7875654855539955	0.04946882286830687	0.08878212541032326	0.035539447104399456	-0.3134684551994473	0.25364876599411484	0.18714262043386068	-0.007830539967975138	0.07412589655322306	0.00021078897465667387	0.43212939417134977	0.024980312494260012	-0.4320598113017755	-0.01852507110963276	0.25364876599376524	draw133	kinetic_box
1.0223789402611914	0.00329158127209909	0.5457100804479623	0.0006799930492127618	-0.4930078363239764	0.0018428868893180508	0.001371860191065018	-2.9520405964987533e-05	3.080073685174792e-08	0.0005005163034522453	0.8469192423187154	5.987816783015275e-05	-0.008323328459095277	-0.10690059809453918	0.0018428868892891273	draw135	kinetic_box
0.6756520651699419	0.0011275939684197763	0.03909482477226004	0.00010476484133237753	-0.07108300696156865	5.242727882175089e-05	5.140365921146716e-05	-1.6268284342679994e-05	4.866015005525568e-06	1.2425888946912988e-05	0.14532585754271715	0.00022886319864711852	-0.09067668537506571	-0.7614736284686715	5.242727882122573e-05	draw136	kinetic_box
0.46475693703365367	0.2830086675269604	0.24527739747713614	0.0930102631969851	-1.1442768420682623	2.3617937185114792	2.0835140438102226	-0.030154448479248502	0.0006548834318297717	0.3077792396666715	0.6080797215243482	0.02635240648997564	-0.010755708023696384	-0.35047286806443206	2.3617937184294755	draw139	kinetic_box
0.057677093456449245	0.0012383804879006115	0.005374501193149751	0.0005451124079432875	-8.20041701760088e-06	0.00020871162103750846	0.00019954988785949072	-2.6509930217969113e-09	6.656371424473288e-06	2.508012757776687e-06	0.09821923837081505	0.0003232753914961861	-0.5947619520845132	-0.13070202620755714	0.00020871162104871887	draw141	kinetic_box
0.48242269303791757	28.114919698693573	0.14933210209308578	27.519770761295696	0.009414947577116573	1.2283501220871251	0.8496512024568939	0.004376205048867227	0.00012549884708279303	0.3741972155971216	0.445118649519311	0.464814595410364	-0.00030650622916699187	-0.0897569067190578	1.2283501219499655	draw142	kinetic_box
0.023736713831076787	0.0073773058037344885	0.007647448641599659	0.0019951578381081792	-0.007436712033258913	0.016830593449498697	0.01638651192473168	-1.3648873366746986e-05	0.0004516827745099046	6.047624091794472e-06	0.32697997938102985	0.0018353370825313217	-0.2851241875132401	-0.2838619215169534	0.01683059344996663	draw143	kinetic_box
0.884843481948504	0.00011992325654295208	0.05568571997375514	4.930832813699906e-05	-1.0229415954483154	0.0007796342583329382	0.0006898652054314734	-0.00012327792736792817	0.00021278162897949075	2.653512758366939e-07	0.2822700274524887	0.00012051316313313104	-0.6071254475550484	-0.08222969330041804	0.0007796342583188727	draw144	kinetic_box
0.06515551699060981	0.032541401127094575	0.03831320295444758	0.004391507936270648	-0.0115377743035541	0.018523588907118575	0.017706119674004293	-3.493156713539761e-05	3.2995627149092346e-07	0.0008520708452816061	0.6000731358013949	0.003027582808985723	-0.02225928297759717	-0.37050893339193847	0.01852358890842199	draw146	kinetic_box
0.39718680483617824	1.4111904429555568e-05	0.16368513260063655	1.5412012279663207e-06	-132.43010156236446	0.0010519624672394702	0.001046706243853078	-6.411976744258856e-05	6.936149045933793e-05	1.4500337766397441e-08	0.5183767548419196	4.841781942785346e-07	-0.16873626839892114	-0.2913621545399379	0.0010519624672075938	draw148	kinetic_box
0.09895622756941978	0.02331992242923847	0.005385340401260104	0.007690704057590167	-0.002434972976915549	0.005984724056264545	0.0058722370129669615	-2.5668100141307707e-06	7.785027901279905e-05	3.720357429770236e-05	0.06215304254110855	0.0010541431212851584	-0.8912661319719711	-0.025396462696318074	0.005984724056263332	draw149	kinetic_box
0.8475971227253362	0.07254037064469307	0.27547956677217095	0.04550221529433875	-0.010599609667740949	0.016916089129746972	0.011369361925366125	-0.0002468809969880232	0.0037660052566742897	0.002027602944443104	0.5740979348064265	0.02329151777535596	-0.023527750115494538	-0.37795233273930157	0.016916089129495496	draw150	kinetic_box
1.2915115918789253	0.1303138827113258	0.8072923225254209	0.10489676192083752	-0.06665796517753222	0.06899678447134246	0.05440784042884259	-0.0005151527508223706	0.0007487542950781784	0.014355342502744348	0.7756151877025254	0.0077282999781098675	-0.08864208209001215	-0.10255004737483574	0.06899678447584276	draw152	kinetic_box
0.546871031046621	0.0006610535953492138	0.0973367943496133	0.00012481271438889932	-0.19487963018362692	0.00019086614990950065	0.0001935719774540273	-2.9041667287213903e-05	2.9297455048184367e-06	2.340609424225516e-05	0.28657302742745033	0.00014902361657731573	-0.4596551359538896	-0.23231490099231986	0.00019086614991388698	draw158	kinetic_box
0.23378538591707715	0.004392123360265708	0.012950753049270897	0.0008903360984375118	-0.04953379295382443	0.003298092959255815	0.0032681981632498545	-6.097115636725907e-06	7.976186949571803e-06	2.801572474946314e-05	0.07229366574319561	0.00012309002144070936	-0.3518282393820289	-0.006231759856146914	0.003298092959312164	draw159	kinetic_box
0.353700954672278	0.29557083721734917	0.11419844783867131	0.11641932983500076	-0.00976743170868895	0.029259496834259605	0.02417011956408258	-0.001607180705423036	0.006644059177616064	5.2498797673219155e-05	0.48822169222915485	0.16454486228895912	-0.19037673593822854	-0.13283639871484912	0.02925949683394883	draw161	kinetic_box
0.32237922946648984	0.19482794523312372	0.12019374810604046	0.017755815080807848	-0.022741331796489905	0.0030697614588443456	0.0030130821111472228	-0.00047982886850002484	0.00042897673846430736	0.00010753147761275074	0.4612948857664888	0.021099418134081567	-0.25551863596924707	-0.24540079762685388	0.003069761458724256	draw162	kinetic_box
0.028348789621296784	0.07141476411402202	0.01765445106077687	0.0074990112770064645	-0.04490018138175269	0.034300727770397436	0.034251469719607366	-0.00020425224411945556	6.866317193793287e-05	0.00018484712268846147	0.6258695422101714	0.004549029376582053	-0.2016652652409064	-0.14028695430685906	0.0343007277701143	draw164	kinetic_box
1.2779422623396373	0.6681083625889921	1.0329520795919676	0.1312880421978428	-0.7665628899089394	0.4150772799700734	0.4068319714312623	-0.011341913701050933	0.0001414121338477528	0.01944581010227445	0.9134739905338166	0.01479580325418342	-0.006415119472273387	-0.018477723724287194	0.41507727996633365	draw165	kinetic_box
