name	ok	n_zeros	tr_at_fold	tr_at_branch_end	j_crit	j_H1	j_H2	j_last_cross	n_points	group	parity_ok	window_width
draw1822	True	1	0.010151642843096553	0.011769187029302589	0.017286330750665414	0.015970472764076402		0.015970472764076402	159	terminal	True	
draw1874	True	1	0.2151419678703863	0.21675190572194902	0.17095922571424654	0.14652044481014986		0.14652044481014986	172	terminal	True	
draw1929	True	1	1.5503593646391014	1.554591874206382	0.44466491786128803	0.34962679279747977		0.34962679279747977	47	terminal	True	
draw1959	True	1	0.1278705393184874	0.1223038065150785	0.10377318369861628	0.09951010328631192		0.09951010328631192	197	terminal	True	
draw1993	True	1	-2.6460939632788563	-2.3980209420792225	2.1658419616183475	1.9297931702917328		1.9297931702917328	54	window	False	
draw2052	True	2	-0.02551865153976196	-0.015714424333682087	0.14226866512247752	0.1296150680190921	0.14223336317194563	0.14223336317194563	174	window	True	0.08869342480995789
draw2164	True	2	-0.03643991212967096	-0.03453111875097542	0.26493772958347644	0.2115950809002079	0.263248397239612	0.263248397239612	207	window	True	0.1949639880307392
draw2211	True	1	0.038569597974463354	0.05359686109503059	0.4045249627301957	0.3716008044016151		0.3716008044016151	168	terminal	True	
draw2231	True	1	0.4668037675496311	0.4731275402684601	0.17826492377159575	0.1654230857629841		0.1654230857629841	182	terminal	True	
draw2253	True	1	0.1005386363523266	0.0987747963727546	0.06879648146747855	0.06090599818540319		0.06090599818540319	167	terminal	True	
draw2360	True	2	-0.1386050696502941	-0.1325584408259905	0.12027571388679083	0.07387914311751645	0.09578834856541539	0.09578834856541539	206	window	True	0.18215818256145141
draw2396	True	1	-0.16369902481281828	-0.16142852699771687	0.1023603668755976	0.04608086386040753		0.04608086386040753	62	window	False	
draw2431	True	1	0.3282147691276932	0.3182626671795662	0.3331917821608429	0.32990372986632815		0.32990372986632815	173	terminal	True	
draw2563	True	2	-2.767366966661551	-2.679121382222202	1.0072823478307178	0.6855793559668858	0.9687698519040346	0.9687698519040346	173	window	True	0.2811431139908563
draw2688	True	1	0.13909667182649837	0.13902639133257105	0.6176911673003956	0.5998090827746605		0.5998090827746605	180	terminal	True	
draw2734	True	1	0.28087045019086077	0.21541528467427584	0.5534287421072003	0.550170604938404		0.550170604938404	221	terminal	True	
draw2863	True	2	-0.02392886985540056	-0.023319615739848434	0.009965329829303642	0.00697313625300227	0.008227952511710495	0.008227952511710495	172	window	True	0.1259181863723531
draw2878	True	1	0.09468539561439389	0.09307208769357439	0.08215899266077609	0.07210391029482738		0.07210391029482738	213	terminal	True	
draw2913	True	2	-0.4829488357617751	-0.47201554762971776	0.4240275820649887	0.1976130525389826	0.3264196387207753	0.3264196387207753	172	window	True	0.30376935753686685
draw2924	True	2	-0.6911590142621955	-0.6270652031627828	0.4736178941429767	0.35047496011695245	0.4578197667915582	0.4578197667915582	222	window	True	0.22664854517131125
draw2949	True	1	1.0330121748122858	1.2649349830599266	1.080354224602749	0.4163970110912955		0.4163970110912955	203	terminal	True	
