n	c0	c1	abs_c1	tr_J	det_J	lambda_zero_abs	min_abs_re_rest	max_abs_im_rest	eigs	k_seq	k_rel	q	u	a_r	a_s
3	-2.223994842194675e-16	0.21229834522279725	0.21229834522279725	-0.8791537894087089	2.223994842194675e-16	1.0515130438480204e-15	0.43957689470435485	0.13809597700467127	[[1.0515130438480204e-15, 0.0], [-0.43957689470435485, 0.13809597700467127], [-0.43957689470435485, -0.13809597700467127]]	1.0	0.01	2.0	0.5952474721870744	0.3025707901947097	5.212248767575729
3	1.8282318711483415e-15	0.21229834522317378	0.21229834522317378	-0.8791537894101605	-1.8282318711483415e-15	8.606559214704893e-15	0.4395768947050758	0.1380959770037087	[[-8.606559214704893e-15, 0.0], [-0.4395768947050758, 0.1380959770037087], [-0.4395768947050758, -0.1380959770037087]]	1.0	0.01	2.0	0.5952474721870252	0.30257079019502026	5.212248767591855
3	-5.034104991759959e-15	0.21229834522247248	0.21229834522247248	-0.8791537894088342	5.034104991759959e-15	2.371079020308878e-14	0.439576894704429	0.13809597700333195	[[2.371079020308878e-14, 0.0], [-0.439576894704429, 0.13809597700333195], [-0.439576894704429, -0.13809597700333195]]	1.0	0.01	2.0	0.5952474721870216	0.3025707901950624	5.212248767594482
3	8.664869287185557e-15	0.21321969855093148	0.21321969855093148	-0.960721868337036	-8.664869287185557e-15	4.065280725768447e-14	0.347971627484237	0.0	[[-4.065280725768447e-14, 0.0], [-0.347971627484237, 0.0], [-0.6127502408527588, 0.0]]	1.0	0.1	2.0	0.4165730755906348	0.26496877939360214	0.7020845405333823
3	1.0724838211861434e-15	0.21321969855233386	0.21321969855233386	-0.9607218683403869	-1.0724838211861434e-15	5.02311545758167e-15	0.3479716274852118	0.0	[[-5.02311545758167e-15, 0.0], [-0.3479716274852118, 0.0], [-0.612750240855171, 0.0]]	1.0	0.1	2.0	0.4165730755905465	0.2649687793953048	0.7020845405423768
3	-3.3523353272662112e-15	0.25616635389494796	0.25616635389494796	-1.0476323650996384	3.3523353272662112e-15	1.3079932187155004e-14	0.38884567019208627	0.0	[[1.3079932187155004e-14, 0.0], [-0.38884567019208627, 0.0], [-0.6587866949075655, 0.0]]	1.0	0.1	2.0	0.4785383370178553	0.3132459299576138	0.879935356635269
3	-2.777829649715402e-16	0.2561663538949138	0.2561663538949138	-1.0476323650999415	2.777829649715402e-16	1.0686258239273357e-15	0.38884567019149424	0.0	[[1.0686258239273357e-15, 0.0], [-0.38884567019149424, 0.0], [-0.6587866949084489, 0.0]]	1.0	0.1	2.0	0.47853833701780507	0.31324592995812883	0.8799353566383159
3	2.5758056751856867e-15	0.25616635389458586	0.25616635389458586	-1.0476323650986485	-2.5758056751856867e-15	9.98485810761897e-15	0.38884567019211486	0.0	[[-9.98485810761897e-15, 0.0], [-0.38884567019211486, 0.0], [-0.6587866949065244, 0.0]]	1.0	0.1	2.0	0.47853833701787807	0.31324592995731854	0.8799353566335373
3	-1.2321357716654105e-14	0.3079463947589242	0.3079463947589242	-1.1378635194222138	1.2321357716654105e-14	4.0027719956372465e-14	0.44348474918863734	0.0	[[4.0027719956372465e-14, 0.0], [-0.44348474918863734, 0.0], [-0.6943787702336168, 0.0]]	1.0	0.1	2.0	0.526906176777552	0.35974889518261904	1.0757570529022953
3	1.3860059204427807e-15	0.3079463947553496	0.3079463947553496	-1.1378635194154072	-1.3860059204427807e-15	4.4800820206954555e-15	0.44348474918629804	0.0	[[-4.4800820206954555e-15, 0.0], [-0.44348474918629804, 0.0], [-0.6943787702291051, 0.0]]	1.0	0.1	2.0	0.5269061767779178	0.3597488951796948	1.0757570528832099
3	1.2180407961974556e-14	0.3079463947580916	0.3079463947580916	-1.137863519419845	-1.2180407961974556e-14	3.956736817893751e-14	0.4434847491892853	0.0	[[-3.956736817893751e-14, 0.0], [-0.4434847491892853, 0.0], [-0.6943787702305203, 0.0]]	1.0	0.1	2.0	0.5269061767776473	0.3597488951820054	1.0757570528982994
