fate	j	sigma	omega	amp_late	amp_mid	growth	drift	u_eq	a_eq	t_end	n_blocks_run	n_blocks_budget	t_block	efolds	converged	u_min	u_max	a_amp_rel	a_mean_over_eq	u_mean_over_eq	n_peaks	period	period_cv	peak_cv	period_predicted	name	frac	j_over_jcrit
cycle	0.14113186181849052	0.010241516149005744	0.014608877907716289	4.5648102161493584	4.563740244658397	1.0002344505676488	0.0010217206252750122	8.7450151501222	1.7275988383510106	58585.075810113194	3	8	19528.358603371064	600.0000000000001	True	5.211474217309376	9.504447169915263	2.742103712316573	0.6007048666811108	0.9860238793526002	8	908.2957489940018	0.0024325212770517067	0.00043392577536746467	430.0936284682658	draw820	0.08	0.756335795999623
cycle	0.1448761495781532	0.013551192735324648	0.016936376946996744	3.8891352808428916	3.8891305039842563	1.0000012282587665	3.406043013383873e-05	8.041233170978456	2.3136087722187635	44276.545372714434	3	8	14758.848457571477	600.0	True	4.258912450374934	9.583728355143853	2.6541520743375018	0.6824530088761191	1.0160806002422527	12	527.760772551319	0.0020090709403865915	0.00027474641709841893	370.9875687606113	draw820	0.22000000000000003	0.7764017033480165
cycle	0.14862043733781588	0.012981044515626856	0.020032229106103607	3.2435036730805447	3.2443575563699736	0.9997368097459688	0.0007715331476507086	7.455002791160629	2.80494832649763	46221.24200234483	3	8	15407.080667448276	600.0	True	3.8103387456786106	9.655900536849867	2.4811763701849823	0.7649679544923914	1.046215259600265	18	404.53700177095925	0.004351666681131811	0.00029009518808676945	313.65382623670007	draw820	0.36000000000000004	0.7964676106964101
cycle	0.15236472509747856	0.011037797258106198	0.022790926671187747	2.769342316351259	2.766727686348169	1.0009450261462274	0.002688664472388454	6.941748715816389	3.261942086744553	54358.67193151766	3	8	18119.557310505887	600.0	True	3.5097438352108554	9.72347012130608	2.324572841323321	0.8393952699881672	1.0708996518538672	25	344.3576783191911	0.0062300156932737095	0.0003982977987629579	275.688013823623	draw820	0.5	0.8165335180448037
cycle	0.1561090128571412	0.008415121542767835	0.024928819483590048	2.3969104837804216	2.398751425483365	0.9992325416950728	0.0022981241204582917	6.47948700840872	3.7072598891789776	71300.21794107715	3	8	23766.739313692382	600.0	True	3.2824657414754785	9.787639434339033	2.1812058059336863	0.9100072033117713	1.086772290830827	36	309.0448722960755	0.00922615085940359	0.0005964438426358228	252.04504013178936	draw820	0.64	0.8365994253931972
cycle	0.1598533006168039	0.005379581438345916	0.0263912456689442	2.0871844071601586	2.0884721084253144	0.9993834242459064	0.0006473031833122389	6.054265485017637	4.154479840293433	71423.51732082092	3	8	23807.839106940304	384.2286280404662	True	3.0997054432351496	9.847850443116176	2.0373373232855596	0.9761175468235596	1.09177432276806	38	297.67240693848726	0.003244997295834831	0.0005143793818906305	238.07839106940304	draw820	0.78	0.8566653327415907
cycle	0.16359758837646657	0.002037822639130573	0.027151251459379477	1.7009386166243219	1.7001132580585339	1.000485472695349	0.0014083265919615916	5.655820224321211	4.6146682428637895	69424.26189724352	3	8	23141.420632414505	141.47433259913285	True	3.0212668945142296	9.671991803871434	1.7674253713176653	1.039088273993857	1.0733250671819121	38	295.1268947869812	4.8395720468683684e-15	0.00027947887525775494	231.41420632414503	draw820	0.92	0.8767312400899844
fixed_other	0.04923670841043496	0.002835377868863031	0.02089797301152536	3.9196539600690214e-16			0.522147967882386	1.8207714073898604	0.4965079048359612	30066.003548355486	1	8	30066.003548355486	85.2484810661645	True	0.39496460627029445	0.39496460627029445	2.7295692624564274e-20	6.96380162704047e-05	0.2169215776715705	2				300.66003548355485	draw824	0.08	0.5134786326015213
fixed_other	0.05189837716455129	0.004318298186740134	0.024542221327065003	1.4456831185565835e-16			0.42533072040531306	1.752929474132764	0.6441891166329762	25601.534691770263	1	8	25601.534691770263	110.55506083723616	True	0.42238172547808267	0.4223817254780827	1.0519059392763923e-20	7.27618608652392e-05	0.24095762648240587	1				256.0153469177026	draw824	0.22000000000000003	0.5412365814251716
fixed_other	0.05456004591866762	0.004481730299448688	0.026590651549173998	1.0541838811241885e-15			0.41154256855755195	1.689216241452355	0.7757159125067659	23629.301807667685	1	8	23629.301807667685	105.90015786624191	True	0.45152939722927316	0.45152939722927327	8.735496421797716e-20	8.286501603953691e-05	0.2673011223483484	0				236.29301807667684	draw824	0.36000000000000004	0.568994530248822
fixed_other	0.05722171467278395	0.004036911653080292	0.02801530927077351	1.2089321347931935e-15			0.41349388161444334	1.6304407303653925	0.9045556512754364	22427.684971996405	1	8	22427.684971996405	90.53858281506602	True	0.48298099214737344	0.48298099214737356	1.1986019555090545e-19	9.914551206086468e-05	0.2962272612259474	7	1059.9731082038816	0.0024986105342286935	3.0223303369829833e-16	224.27684971996405	draw824	0.5	0.5967524790724723
cycle	0.059883383426900284	0.0032220182019778703	0.029073852098258114	2.75080111843142	2.7503598728281293	1.0001604319520692	0.0015063559004980234	1.5761013950942433	1.0360050162488947	64833.36249298758	3	8	21611.12083099586	208.89427404783535	True	0.9960978667692285	2.3428390631220473	1.9013499590740988	0.6911986280412374	1.0032680093737378	33	308.0354807118674	0.007280548461927049	0.0006497380215391679	216.1112083099586	draw824	0.64	0.6245104278961227
cycle	0.06254505218101661	0.0021399814310096464	0.02986287717107983	2.0011864493488787	2.001189184755769	0.9999986331092976	0.00016340330147355503	1.5254892254755847	1.1732432852850039	63120.36115459523	3	8	21040.120384865077	135.0764007894564	True	0.9874131482264488	2.372683348632823	1.7496613442338798	0.8743120086602439	1.0466593982719898	42	236.76054446585113	0.01092162638184415	0.0005958879337084493	210.40120384865074	draw824	0.78	0.6522683767197729
cycle	0.06520672093513294	0.0008374550116425437	0.030418908702534907	1.3332763066864255	1.3327767257967558	1.0003748421472254	2.6564047414156794e-05	1.4778821228238672	1.3187061539170881	61966.57515188231	3	8	20655.525050627435	51.894218915268155	True	1.0486355976183899	2.169671266367607	1.2904604862897329	0.9678867612197338	1.0399284556595647	46	216.93724734342322	0.01110483297227954	0.0004719442613074875	206.55525050627435	draw824	0.92	0.6800263255434232
cycle	0.13183407844146094	0.005384380067030469	0.20456470240514713	1.0609946456325736	1.060997059657084	0.9999977247585294	0.00014701882062212416	0.517629426926849	0.039876599508349236	12285.961817079335	4	8	3071.4904542698337	66.15228791217942	True	0.4672800443667264	0.5473090285318548	1.2414925490243138	1.1701214083734852	0.9790748315639999	46	31.490649818720613	0.012048443362829848	0.00032339720505064634	30.714904542698335	draw1240	0.08	0.9423748669063596
cycle	0.13250857088927637	0.013614452405683567	0.19096260938402254	1.4622718943569994	1.461776235278479	1.00033907999498	0.0002800780793710476	0.5116010591703745	0.043957231032619754	9870.809779118918	3	8	3290.269926372973	134.38566994337043	True	0.4208430465786274	0.554352354641262	2.082897063023262	1.424425287158493	0.948837882482347	45	35.37924652013953	0.008006187099969682	0.0003861472659666695	32.90269926372973	draw1240	0.22000000000000003	0.9471962661853149
cycle	0.13318306333709182	0.020322375323177676	0.176068029912832	1.5974794954999865	1.59741069097084	1.0000430725357825	0.0011194403557175828	0.5041319995416221	0.048966236388462266	10705.83678983108	3	8	3568.612263277027	217.56803339163085	True	0.3886089274616959	0.5558499154499205	2.549784671923976	1.5961298277108293	0.9276164076975522	44	38.372174873946506	5.542997736096431e-15	0.0001666028779258377	35.68612263277027	draw1240	0.36000000000000004	0.9520176654642705
cycle	0.13385755578490727	0.02495020116155712	0.15984885683239472	1.6344164872762257	1.6344170125964794	0.999999678588604	5.116899420044963e-05	0.4947223595492604	0.05531991213215903	11792.11180803311	3	8	3930.703936011037	294.21556172999914	True	0.3658778863274963	0.554699925117638	2.7272356408233827	1.6686295458071112	0.9157988489355046	45	41.282712006117436	0.011355155841478472	0.0004040909131030072	39.307039360110366	draw1240	0.5	0.956839064743226
cycle	0.1345320482327227	0.02656483820833301	0.14237995496085873	1.6104153534081402	1.6104140728314849	1.000000795184715	0.00038013699834300705	0.48255944495627995	0.06375031988178995	13238.911282645535	3	8	4412.970427548512	351.6895362779531	True	0.35055733376299403	0.5505331076382161	2.642253597042963	1.6407280217809224	0.9138424586342269	46	45.24425794685885	0.011206383354493763	0.0004286474698206434	44.12970427548512	draw1240	0.64	0.9616604640221814
cycle	0.13520654068053814	0.02346205514232816	0.12404127768543591	1.5200257041323493	1.51960293428438	1.0002782107341537	0.00040227572860180254	0.46622950731148816	0.07566883430690569	15196.19619635049	3	8	5065.39873211683	356.5339931124126	True	0.3432532871061684	0.5404276839968885	2.2865396180634967	1.5042769420591366	0.9253257954518026	47	50.66665398466466	0.011177720009286048	0.0004692093334582799	50.653987321168294	draw1240	0.78	0.966481863301137
cycle	0.1358810331283536	0.01228384874294016	0.10594014504557549	1.2168441497625004	1.2168432309340638	1.0000007550918748	0.00025475195901380966	0.44318990265856867	0.09404551101457245	17792.64688889153	3	8	5930.882296297176	218.56218311968837	True	0.3542895144284551	0.5107596705556426	1.500706699465846	1.2332776549558535	0.9608651347415108	48	59.32365387644086	0.008369470192828427	0.000426999188635275	59.30882296297176	draw1240	0.92	0.9713032625800925
