u	a	j	eps	mode	lambda	R_j	G_j	w_dot_Fj	margin	grad_G
0.21293675822358135	0.6499408060887572	0.05049995441460752	0.1	influx	1.0059616435592889	-0.0035816507872531663	0.002782474435409306	1.0063807133434592	1.0063807133434592	0.14664869591534138
0.6649017482711651	3.0040982670936787	0.09512623987670844	0.1	influx	-0.2895646963763645	-0.017831918661929562	0.03760791240602685	1.0069419949247296	1.0069419949247296	0.505521458461713
0.6151789834404039	0.0003610358401017956	0.15666278535386466	0.1	influx	-0.9649420428973888	-0.015392038682337563	3.831433546795916e-05	1.015355067569199	1.015355067569199	1.945997288397835
0.47829704164408954	0.05365091666529927	0.08522278175741237	0.1	influx	34.767576973915034	-0.002704834399861004	0.000220456363098856	1.0103695679732898	1.0103695679732898	0.004681117736664478
0.3734500523907478	0.005800508915223036	0.3732611080605341	0.1	influx	81.53876598833892	-0.03538555440660784	1.0294366408854279e-05	1.0362249443402176	1.0362249443402176	0.00399211512331442
0.24622601782980802	0.002806562383256469	1.4190902046163665	0.1	influx	2.686378366597828	-0.12402221185505272	0.0002032802474201118	1.1245682995140787	1.1245682995140787	0.4367880165528775
0.20212688876305399	0.06356255068189037	0.4423381700728574	0.1	influx	0.792781053608467	-0.042575707370609735	0.0009690852097383733	1.0433439797642226	1.0433439797642226	0.2461861795459595
0.9339740979376693	0.06523243014237078	0.009648559528586445	0.1	influx	-0.05268441944437377	-0.001896548323315023	0.020020649093311665	1.0008417720489344	1.0008417720489344	0.33327315314587574
0.3337312489008649	0.1752177988963836	0.18216901292775264	0.1	influx	40.196872791163834	0.004723984952473556	0.000687587893567382	1.0229148981379987	1.0229148981379987	0.027420777267274602
0.14768325857849876	0.07399967833498323	0.031147416544390627	0.1	influx	8.051050617916193	-0.0029186481085744283	0.00019263667284680268	1.0044695757125308	1.0044695757125308	0.022747192616170666
0.7916656437628369	0.1227522411010876	0.12123633995867425	0.1	influx	-0.13242532537622548	-0.01518565746688529	0.035821227934867216	1.0104420197022346	1.0104420197022346	0.8777469682895568
0.4222429351416006	0.3669566310396569	0.08904188713970584	0.1	influx	2.239055674908208	-0.003742022991787375	0.0033119854117070117	1.0111577427230831	1.0111577427230831	0.06871986723319629
0.9261403113059488	0.11621572650523422	0.09939332273698032	0.1	influx	4.194052047591263	-0.008050824166404498	0.0008434547883532905	1.0115883174485483	1.0115883174485483	0.03939702308013644
0.20513259502911382	0.6424572593240634	0.047892321473713306	1.0	influx	0.9937410015533377	-0.03290783241935042	0.025305173884894054	1.0580546212602064	1.0580546212602064	0.14572216024012613
0.6167135697613503	2.9328077007727544	0.08990220639995744	1.0	influx	-0.2879366661150639	-0.15338744684755393	0.3213972945806034	1.060845381347614	1.060845381347614	0.5045203931967891
0.6058090266396564	0.0003751865850909908	0.13969190773361986	1.0	influx	-0.9705803199613926	-0.1222686110637593	0.00034303250769487654	1.1219356704626835	1.1219356704626835	1.8941625786006768
0.44365794271772646	0.049859641494081515	0.07847135119041825	1.0	influx	35.45641914642152	-0.0235604499022793	0.0018688792860209436	1.0898242172015027	1.0898242172015027	0.004565269542940327
0.034835298108994286	0.0070556369135949685	0.016227337853608224	1.0	influx	99.61789062146497	-0.006833813604036736	0.0002378575529253383	1.0305286812948424	1.0305286812948424	0.004561763786951346
0.17505739868240466	0.002855887278118214	0.8667580936459449	1.0	influx	2.7234398800798987	-0.4632613123048404	0.0010501153137526906	1.466121238228997	1.466121238228997	0.41956932795277085
0.17878831207270302	0.05510108821763606	0.3420445011468254	1.0	influx	0.8168685416884466	-0.2570490264482992	0.005571002152686034	1.261599802852507	1.261599802852507	0.23940051489880798
0.9266551325145275	0.06522551855330304	0.009576647151016303	1.0	influx	-0.05261575900357084	-0.018624755397178675	0.1965383721239041	1.0082837397745532	1.0082837397745532	0.33205073653085815
0.29783898018517374	0.15569096813267097	0.1550187086812752	1.0	influx	38.488831771671485	0.0217659041533859	0.005027650187797946	1.171742478131582	1.171742478131582	0.026064426769921992
