lambda_max	omega	complex_pair	slope	n_periods	estimator	period_measured	period_predicted	grew	ratio_max	ratio_end	escaped	horizon_short	t_end	t_last	eq_residual	j_eq	n_fit	name	tested	is_cross	group	tr_J_at_fold	j_crit	j_at_first_cross	tr_max
1.42071829977573	0.0	False	1.4327538116398042	inf	late_half			True	9849.246082042346	9849.246082042346	True	False	17.59673258516232	6.065032096173586	1.8611147914476304e-16	0.4412731905872247	2758	draw1929	True	True	terminal	1.5503593646391014	0.444664917861288	0.3510806135543776	1.58489039357271
0.1178931430196581	0.0	False	0.1198319190760434	inf	late_half			True	9218.72584918578	9218.72584918578	True	False	212.0564382258548	66.96519101869099	2.624901892761916e-17	0.1037655404258654	2527	draw1959	True	True	terminal	0.1278705393184874	0.1037731836986162	0.100702637418337	0.1223038065150785
0.6516095056797708	1.8074950465290835	True	0.65169357560359	4.21526966091895	peak	1.7363028225742398	1.738091985160659	True	9893.8439435504	9893.8439435504	True	False	38.36653667892636	14.653052825868237	4.1718631034900603e-17	1.2187194627758915	3056	draw1993	True	True	window	-2.6460939632788563	2.1658419616183475	0.971155675063325	1.3032190113595417
0.0799829587858832	0.2057802374927512	True	0.0799326461711542	3.173820219941028	peak	15.278601492357748	15.266736455683496	True	9745.881611493924	9745.881611493924	True	False	312.5665814254978	96.9077537111182	6.205878228243919e-17	0.1387656000077115	2481	draw2052	True	True	window	-0.0255186515397619	0.1422686651224775	0.1299310012297788	0.1599659175717664
0.025288140503394	0.1686363324481009	True	0.025293228248048	8.697438840803635	peak	18.662265487081896	18.62939384403798	True	9519.669349610997	9519.669349610997	True	False	988.6057061666764	324.05602719952816	3.9365082289805156e-17	0.2409102543755193	2623	draw2164	True	True	window	-0.0364399121296709	0.2649377295834764	0.2155319304525391	0.050576281006788
0.1190870292700571	0.5098751776445086	True	0.119167567446202	5.694888881386724	peak	6.167479471550775	6.161493619091516	True	9893.672088199792	9893.672088199792	True	False	209.93050337419004	70.17804300819904	4.2199784991406336e-17	0.3954890891962984	2675	draw2211	True	True	terminal	0.0385695979744633	0.4045249627301957	0.3738772146851792	0.2381740585401141
0.4384779846698665	0.0	False	0.4419483703949345	inf	late_half			True	9937.932587371011	9937.932587371011	True	False	57.01540527473163	19.85809714906892	1.2022262111461593e-17	0.1779811830786227	2787	draw2231	True	True	terminal	0.4668037675496311	0.1782649237715957	0.1657202390208209	0.4796265608503577
0.0941654740658726	0.0	False	0.095017124585853	inf	late_half			True	9714.437588868928	9714.437588868928	True	False	265.49008803918366	88.31968049409522	4.6418322460503625e-17	0.0687811983909162	2662	draw2253	True	True	terminal	0.1005386363523266	0.0687964814674785	0.0614730541466891	0.0987747963727546
0.0040594576196646	0.0499176763756891	True	0.0040591666233212	17.18767419711612	peak	63.13208789591454	62.9354745991304	True	9653.000981639336	9623.89283878419	True	False	6158.45818389537	2163.4288657014613	4.2743835486494824e-18	0.0838448543346863	2811	draw2360	True	True	window	-0.1386050696502941	0.1202757138867908	0.0744690797907265	0.0081189152393292
0.0085181356236475	0.0242547417859953	True	0.0085167851796923	4.338339602747563	peak	129.51929349430353	129.5248855382061	True	9899.516509242076	9899.516509242076	True	False	2934.914528784515	1123.8458809434892	3.138584738456936e-18	0.0299064854677706	3064	draw2396	True	True	window	-0.1636990248128182	0.1023603668755976	0.0276029286567072	0.017036271247295
0.3137950398848558	0.0	False	0.3309446003864774	inf	late_half			True	9955.889131574091	9955.889131574091	True	False	79.6698380228493	28.62496743063744	7.83955603329582e-18	0.333187452511882	2875	draw2431	True	True	terminal	0.3282147691276932	0.3331917821608429	0.3316300865872156	0.3182626671795662
0.8953578347869118	2.00148826467854	True	0.8948981853667319	3.1189881082705564	peak	1.5707974494467027	1.5696283156046211	True	9816.82108569123	9816.82108569123	True	False	27.921797329164832	9.791304101551114	6.892316064160342e-16	0.8277571866733202	2806	draw2563	True	True	window	-2.767366966661551	1.0072823478307178	0.6932271702778493	1.7907156695738244
0.129755426150264	0.0	False	0.1323029266515615	inf	late_half			True	9749.626183564453	9749.626183564453	True	False	192.6701698859869	55.905421215823935	1.4710522892854938e-17	0.6176841206530543	2322	draw2688	True	True	terminal	0.1390966718264983	0.6176911673003956	0.6046262785328985	0.139026391332571
0.1669295493961365	0.0	False	0.1786279118939884	inf	late_half			True	9919.73400675087	9919.73400675087	True	False	149.76377813536828	47.08787373552335	1.741438290087543e-17	0.553218827763037	2516	draw2734	True	True	terminal	0.2808704501908607	0.5534287421072003	0.5503985902431932	0.2154152846742758
0.0002280903236639	0.0223217298695973	True	0.0002280568375033	71.05227294216854	peak	140.01750218777352	140.74145113048365	True	328.06467016485226	98.17151796284156	False	True	20000.0	20000.0	1.0837208502311653e-17	0.0076351100136833	8000	draw2863	True	True	window	-0.0239288698554005	0.0099653298293036	0.0070285993871539	0.0004561806473279
0.0828513809419413	0.0	False	0.0837685093601987	inf	late_half			True	9241.59559206674	9241.59559206674	True	False	301.7451213941615	93.779018850592	1.3696596658563394e-17	0.0820847048703725	2487	draw2878	True	True	terminal	0.0946853956143938	0.082158992660776	0.073089095490385	0.0930720876935743
0.0983159179602444	0.2270141532239948	True	0.0982879681827216	3.1780644356423045	peak	13.828329850590857	13.83875238161906	True	9939.575409132114	9939.575409132114	True	False	254.28232293074996	87.96089355536756	6.816477282807114e-17	0.2320389691877638	2768	draw2913	True	True	window	-0.4829488357617751	0.4240275820649887	0.2002360365705674	0.196631835920489
0.2453088807932624	0.3979451185826705	True	0.2452939847449815	2.169271158894862	peak	7.895524420441625	7.894537479889069	True	9825.107573953936	9825.107573953936	True	False	126.31259967822513	34.25078493587577	1.079158170303818e-16	0.397936148705503	2170	draw2924	True	True	window	-0.6911590142621955	0.4736178941429767	0.353027040586297	0.4906177615865248
3.318662827410925	0.0	False	3.400305367054887	inf	late_half			True	9970.521931964096	9970.521931964096	True	False	7.533154556560934	2.6228072809128893	6.213185499594517e-16	0.7250845883400349	2786	draw2949	True	True	terminal	1.0330121748122858	1.080354224602749	0.4309594791094157	4.642712950345232
0.1620196633752045	0.1150484986131562	True		0.8651081385173146	none		27.306681021133627	True	9766.085564153544	9766.085564153544	True	False	436.9068963381381	47.24646397455799	6.808672714834922e-18	0.2185636934652645	866	draw2985	True	True	terminal	0.2571812125516808	0.2280345077900786	0.1770770883814939	0.324039326750409
0.0216778828658271	0.0283032457564391	True	0.0215405570263579	1.758219777472184	peak	126.44208383047972	110.99761068481205	True	9916.722085118072	9916.722085118072	True	False	1775.9617709569927	390.3163887163887	6.449672842393839e-18	0.110650916432635	1759	draw3088	True	True	terminal	0.0609652257598577	0.1107757118763238	0.1102752172704979	0.0433557657316542
0.4172473563218181	0.0	False	0.4199539516770381	inf	late_half			True	9972.26562153872	9972.26562153872	True	False	59.91649706395692	22.41906184678373	4.6866230441207e-17	0.0653416369173162	2994	draw3098	True	True	terminal	0.4239290905262108	0.0653924295568246	0.0599915154043026	0.4277600981577125
0.1802678634174637	0.0	False	0.1813646583489999	inf	late_half			True	9924.390019570565	9924.390019570565	True	False	138.6825112699377	48.94370912802026	3.2039070399366355e-17	0.0902779722192757	2824	draw3133	True	True	window	-0.5197922025918382	0.1315165125087069	0.0902779722192757	0.1803834260563593
0.0290713150714416	0.4556547116238977	True	0.0290546570559039	20.169357303691093	peak	6.88049380063601	6.894678302334548	True	9907.727875812525	9834.196525783704	True	False	859.9542173638663	278.1224603475837	1.6706065277051994e-17	0.3484177696012431	2588	draw3163	True	True	window	-3.865830682608253	0.5376730157388014	0.3430412761318133	0.0581426301428833
0.0418421937875345	0.1263246954045987	True	0.0424800402347918	3.815952163504633	peak	24.873339568941443	24.86918843166612	True	9953.453075632637	9953.453075632637	True	False	597.4830126485364	189.79926680084145	3.654902281311984e-17	0.4146415595241701	2542	draw3205	True	True	terminal	0.1434353360358249	0.4147601064350854	0.4146415595241701	0.083684387575069
0.9634386288539524	0.0	False	0.9762705313091786	inf	late_half			True	9959.094985194706	9959.094985194706	True	False	25.94872081238684	8.826912030316864	4.1687308865026104e-17	0.17685331289629	2722	draw3349	True	True	terminal	0.9667762079541332	0.176853433083148	0.1630971008074399	0.9661001362304924
0.0045966102198727	0.0840456063027572	True	0.0045963375683365	24.210838507987475	peak	37.3963592383173	37.37961794543836	True	9587.060825810897	9587.060825810897	True	False	5438.790500860003	1809.9837871345576	2.90628919014852e-17	0.1599830925046658	2663	draw3409	True	True	window	-0.0261495127036185	0.1651775596208234	0.1561547828159278	0.0091932204397455
0.1799799125541775	0.0	False	0.1813257689349718	inf	late_half			True	9883.309999106848	9883.309999106848	True	False	138.90439019118034	51.123205991103255	1.450783426323043e-17	0.1282398918822367	2945	draw3456	True	True	terminal	0.1850291013238072	0.1317050868970965	0.1005440745633045	0.1990979514438748
0.2422713342388696	0.0	False	0.2461308790779885	inf	late_half			True	9735.179713579166	9735.179713579166	True	False	103.19008676177523	31.038298380901512	5.6574438321665e-18	0.1930121529455055	2407	draw3481	True	True	terminal	0.2638054867999095	0.1930283487913541	0.1773438873233288	0.263033210799329
