name	ok	n_turns	j_crit	j_turn	ratio
nu=0.04872,chi=0.567	True	1	0.17566868340652478	0.17565319610245786	0.9999118379908895
nu=0.04872,chi=0.633	True	0	0.1679163594516927		
nu=0.04872,chi=0.7	True	0	0.16036532112357416		
nu=0.04872,chi=0.767	True	0	0.15301646126143498		
nu=0.04872,chi=0.833	True	0	0.1458668037347793		
nu=0.04872,chi=0.9	True	0	0.1389096026475305		
nu=0.06687,chi=0.1	True	1	0.2346450723603677	0.23167146121079427	0.987327195411943
nu=0.06687,chi=0.167	True	1	0.22570624320427618	0.22335835094277695	0.989597575024213
nu=0.06687,chi=0.233	True	1	0.21687491490222174	0.2151299716163751	0.9919541488390515
nu=0.06687,chi=0.3	True	1	0.20816608431380956	0.20697234843958015	0.994265464145303
nu=0.06687,chi=0.367	True	1	0.19959530892878596	0.1988184392358732	0.9961077757935185
nu=0.06687,chi=0.433	True	1	0.19117800608002608	0.1907831617990107	0.9979346772721852
nu=0.06687,chi=0.5	True	1	0.1829283316813132	0.18274734010328467	0.9990105874996781
nu=0.06687,chi=0.567	True	1	0.17485838227314873	0.17483769296863247	0.9998816796527149
nu=0.06687,chi=0.633	True	0	0.16697729107172943		
nu=0.06687,chi=0.7	True	0	0.15929054119231953		
nu=0.06687,chi=0.767	True	0	0.1517997199048025		
nu=0.06687,chi=0.833	True	0	0.14450244630494713		
nu=0.06687,chi=0.9	True	0	0.1373929665399323		
nu=0.09179,chi=0.1	True	1	0.23449566439382796	0.2315103050458684	0.9872690211323235
nu=0.09179,chi=0.167	True	1	0.22544891391117436	0.223081381398388	0.9894985854147023
nu=0.09179,chi=0.233	True	1	0.21650209577386392	0.21473027142980208	0.9918161330599197
nu=0.09179,chi=0.3	True	1	0.2076693658959952	0.20644956360247196	0.9941262290263162
nu=0.09179,chi=0.367	True	1	0.19896586129505595	0.19816116954318105	0.9959556290378802
nu=0.09179,chi=0.433	True	1	0.19040629851570062	0.18998073638869065	0.9977649787306018
nu=0.09179,chi=0.5	True	1	0.18200427284151247	0.1818071373651649	0.9989168634710064
