name	ok	n_candidates	n_polished	n_max	n_min	has_both	j_at_max	j_at_min	orient_agree	orient_n	group
draw3572	True	3	3	2	1	True	0.7579690676869938	0.2390723263352283	3	3	d2R<0
draw3612	True	1	1	1	0	False	0.23534491040480676		1	1	d2R<0
draw3640	True	1	1	1	0	False	0.45097309087136583		1	1	d2R<0
draw3675	True	1	1	1	0	False	0.7629614542014675		1	1	d2R<0
draw3702	True	1	1	1	0	False	0.09684046588240891		1	1	d2R<0
draw3731	True	1	1	1	0	False	0.39901471838804		1	1	d2R<0
draw3762	True	1	1	1	0	False	0.10922869653347496		1	1	d2R<0
draw3792	True	3	3	2	1	True	0.3247750651822388	0.05867672848702869	2	3	d2R<0
draw3820	True	1	1	1	0	False	0.0589169946791016		1	1	d2R<0
draw3857	True	1	1	1	0	False	0.11585473459009335		1	1	d2R<0
draw3888	True	1	1	1	0	False	1.1291699003519682		1	1	d2R<0
draw3918	True	1	1	1	0	False	0.03519010706708863		0	1	d2R<0
draw3950	True	1	1	1	0	False	0.029534195977718374		1	1	d2R<0
draw3985	True	1	1	1	0	False	0.6815105670190855		1	1	d2R<0
draw4019	True	1	1	1	0	False	0.0682480903512111		1	1	d2R<0
draw4049	True	1	1	1	0	False	0.024498713994597344		1	1	d2R<0
draw4077	True	1	1	1	0	False	0.018946113751961736		1	1	d2R<0
draw4108	True	1	1	1	0	False	0.46103315190234606		1	1	d2R<0
draw4144	True	1	1	1	0	False	0.13127723953772863		1	1	d2R<0
draw4173	True	1	1	1	0	False	0.04321622924577819		1	1	d2R<0
draw4196	True	1	1	1	0	False	0.3110169586502098		1	1	d2R<0
draw4226	True	1	1	1	0	False	0.04334514887981108		1	1	d2R<0
draw4262	True	1	1	1	0	False	0.1865067092886394		1	1	d2R<0
draw4300	True	1	1	1	0	False	0.3103454067313389		1	1	d2R<0
draw4332	True	1	1	1	0	False	0.00419770072522477		1	1	d2R<0
draw4369	True	1	1	1	0	False	0.13882763527377148		1	1	d2R<0
draw4401	True	1	1	1	0	False	0.03901228458980481		1	1	d2R<0
draw4445	True	1	1	1	0	False	0.08017759293752115		1	1	d2R<0
draw4483	True	1	1	1	0	False	0.024111092180394048		1	1	d2R<0
draw4512	True	1	1	1	0	False	0.154669921565416		1	1	d2R<0
draw4554	True	1	1	1	0	False	0.035447881144365596		1	1	d2R<0
draw4588	True	1	1	1	0	False	0.1985345790581116		1	1	d2R<0
draw4627	True	3	3	2	1	True	0.13163386882382783	0.019569601017871054	3	3	d2R<0
draw4659	True	1	1	1	0	False	0.21131867023698858		1	1	d2R<0
